LST_2024Ex,LST_2014Ex,LST_2005Ex,NDVI_2024Ex,NDVI_2014Ex,NDVI_2004Ex,UI_2024Ex,UI_2014Ex,UI_2004Ex,Normalised_PD_2024,Normalised_PD_2014,Normalised_PD_2004,Normalised_Nonbuiltup_road_2024,Distance_to_Nonbuiltup_CBD
42.973,42.588,43.186,0.201,0.185,0.350,0.275,0.254,-0.064,0.152,0.106,0.107,0.833,0.506
41.662,42.608,43.181,0.180,0.358,0.261,0.174,0.331,-0.048,0.170,0.132,0.137,0.819,0.490
43.224,42.817,43.183,0.158,0.251,0.310,0.183,0.262,-0.073,0.171,0.132,0.137,0.762,0.473
42.740,42.682,43.217,0.087,0.169,0.182,0.093,0.195,-0.024,0.195,0.175,0.152,0.709,0.457
42.796,42.680,43.224,0.102,0.192,0.158,0.108,0.207,-0.008,0.195,0.175,0.151,0.662,0.444
40.705,41.836,43.923,0.310,0.347,0.333,0.280,0.334,-0.064,0.208,0.168,0.149,0.614,0.432
41.764,40.640,43.204,0.080,0.238,0.200,0.069,0.217,-0.023,0.208,0.168,0.149,0.565,0.423
41.573,40.297,42.789,0.283,0.288,0.354,0.287,0.293,-0.060,0.228,0.196,0.143,0.521,0.416
41.838,40.329,43.946,0.280,0.293,0.282,0.308,0.323,-0.031,0.228,0.196,0.143,0.473,0.410
43.315,40.450,44.322,0.282,0.289,0.218,0.295,0.308,-0.006,0.148,0.106,0.119,0.425,0.408
44.530,42.363,45.067,0.241,0.264,0.216,0.287,0.305,-0.015,0.148,0.106,0.119,0.383,0.408
43.114,42.739,40.838,0.217,0.210,0.271,0.276,0.282,-0.038,0.132,0.083,0.124,0.346,0.408
42.749,41.383,45.463,0.310,0.232,0.167,0.311,0.277,0.006,0.132,0.083,0.124,0.320,0.411
42.242,40.841,45.460,0.239,0.183,0.289,0.251,0.226,-0.041,0.084,0.069,0.078,0.311,0.416
43.541,42.302,45.450,0.250,0.209,0.417,0.321,0.257,-0.102,0.083,0.068,0.077,0.310,0.424
35.505,33.823,34.258,0.116,-0.030,-0.028,0.081,-0.168,-0.059,0.102,0.085,0.095,0.320,0.436
42.546,39.662,44.339,0.282,0.343,0.209,0.329,0.349,0.000,0.104,0.066,0.067,0.394,0.904
39.733,39.401,42.407,0.361,0.218,0.289,0.323,0.276,-0.038,0.104,0.066,0.067,0.400,0.877
43.024,40.484,43.953,0.240,0.308,0.194,0.282,0.340,0.008,0.094,0.061,0.072,0.406,0.845
40.037,39.586,42.393,0.330,0.331,0.350,0.298,0.326,-0.076,0.094,0.061,0.072,0.419,0.813
43.688,42.499,44.722,0.198,0.186,0.274,0.284,0.280,-0.027,0.108,0.072,0.079,0.442,0.787
43.763,40.692,42.437,0.204,0.246,0.274,0.275,0.294,-0.035,0.108,0.072,0.080,0.466,0.756
43.754,42.431,40.127,0.218,0.250,0.192,0.284,0.309,-0.006,0.120,0.087,0.090,0.489,0.726
41.154,41.354,42.821,0.226,0.253,0.200,0.237,0.278,-0.006,0.120,0.087,0.090,0.515,0.702
43.128,43.248,44.330,0.140,0.165,0.182,0.154,0.215,-0.028,0.118,0.095,0.080,0.540,0.673
41.908,42.100,43.573,0.310,0.371,0.139,0.269,0.348,0.007,0.118,0.095,0.080,0.565,0.646
41.452,40.947,43.543,0.253,0.321,0.246,0.212,0.272,-0.048,0.131,0.106,0.076,0.594,0.619
41.890,41.525,42.799,0.239,0.249,0.165,0.211,0.225,-0.031,0.144,0.108,0.091,0.625,0.597
41.976,42.537,43.959,0.258,0.268,0.137,0.259,0.298,0.013,0.144,0.108,0.092,0.656,0.570
40.973,42.389,42.451,0.260,0.195,0.183,0.258,0.241,0.004,0.199,0.163,0.128,0.686,0.544
40.531,41.238,42.820,0.359,0.320,0.116,0.301,0.322,0.008,0.199,0.163,0.129,0.718,0.524
40.011,41.257,42.783,0.230,0.271,0.235,0.236,0.296,-0.037,0.213,0.198,0.145,0.749,0.501
40.891,42.390,43.177,0.306,0.328,0.245,0.293,0.328,-0.049,0.213,0.198,0.145,0.780,0.479
40.311,40.195,41.202,0.221,0.398,0.357,0.233,0.320,-0.088,0.201,0.175,0.200,0.783,0.463
44.346,42.856,44.334,0.189,0.174,0.276,0.270,0.269,-0.034,0.201,0.175,0.200,0.724,0.445
40.701,41.612,42.415,0.284,0.260,0.374,0.309,0.306,-0.088,0.264,0.253,0.220,0.668,0.428
39.005,39.621,41.202,0.317,0.388,0.202,0.274,0.332,-0.015,0.264,0.253,0.220,0.619,0.415
